Country,Nation,Area,City,Region
United Kingdom,Wales,Rhondda Cynon Taff,Aberdare,Wales
United Kingdom,Scotland,Aberdeen City,Aberdeen,Scotland
United Kingdom,Wales,Ceredigion,Aberystwyth,Wales
United Kingdom,Scotland,Clackmannanshire,Alloa,Scotland
United Kingdom,England,South Gloucestershire,Almondsbury,South West
United Kingdom,Northern Ireland,Antrim and Newtownabbey,Antrim and Newtownabbey,Northern Ireland
United Kingdom,Scotland,Angus Council,Arbroath,Scotland
United Kingdom,Scotland,Highland Council,Argyll,Scotland
United Kingdom,Northern Ireland,"Armagh City, Banbridge and Craigavon",Armagh,Northern Ireland
United Kingdom,Scotland,South Ayrshire Council,Ayr,Scotland
United Kingdom,England,Derbyshire,Bakewell,East Midlands
United Kingdom,Northern Ireland,Mid and East Antrim,Ballymena,Northern Ireland
United Kingdom,England,Northumberland,Bamburgh,North East
United Kingdom,Scotland,Aberdeenshire,Banchory,Scotland
United Kingdom,Northern Ireland,Ards and North Down,Bangor,Northern Ireland
United Kingdom,Wales,Vale of Glamorgan,Barry,Wales
United Kingdom,England,Hampshire,Basingstoke,South East
United Kingdom,England,Bath and North East Somerset,Bath and North East Somerset,South West
United Kingdom,England,Bedford,Bedford,East of England
United Kingdom,Northern Ireland,Belfast,Belfast,Northern Ireland
United Kingdom,England,West Midlands,Birmingham,West Midlands
United Kingdom,England,Blackburn with Darwen,Blackburn,North West
United Kingdom,England,Blackpool,Blackpool,North West
United Kingdom,England,Dorset,Bournemouth,South West
United Kingdom,England,Bracknell Forest,Bracknell,South East
United Kingdom,England,West Yorkshire,Bradford,Yorkshire and the Humber
United Kingdom,Wales,Bridgend County Borough,Bridgend,Wales
United Kingdom,England,Brighton and Hove,Brighton and Hove,South East
United Kingdom,England,Bristol City,Bristol City,South West
United Kingdom,England,Suffolk,Bury St Edmunds,East of England
United Kingdom,Wales,Caerphilly County Borough,Caerphilly,Wales
United Kingdom,England,Cambridgeshire,Cambridge,East of England
United Kingdom,England,Kent,Canterbury,South East
United Kingdom,Wales,Cardiff,Cardiff,Wales
United Kingdom,England,Carmarthenshire,Carmarthen,Wales
United Kingdom,England,West Sussex,Carwley,South East
United Kingdom,England,Buckinghamshire,Chesham,South East
United Kingdom,Wales,Cheshire West and Chester,Chester,North West
United Kingdom,England,Wiltshire,Chippenham,South West
United Kingdom,England,Essex,Colchester,East of England
United Kingdom,Northern Ireland,Causeway Coast and Glens,Coleraine,Northern Ireland
United Kingdom,Wales,Conwy Principal Area,Conwy,Wales
United Kingdom,Northern Ireland,Mid Ulster,Cookstown,Northern Ireland
United Kingdom,England,Cheshire East,Crewe,North West
United Kingdom,Wales,Torfaen Principal Area,Cwmbran,Wales
United Kingdom,England,Darlington,Darlington,North East
United Kingdom,Wales,Denbighshire,Denbigh,Wales
United Kingdom,England,Derby,Derby,East Midlands
United Kingdom,Northern Ireland,Derry and Strabane,Derry,Northern Ireland
United Kingdom,England,East Riding of Yorkshire,Driffield,Yorkshire and the Humber
United Kingdom,Scotland,West Dunbartonshire Council,Dumbarton,Scotland
United Kingdom,Scotland,Dumfries and Galloway,Dumfries,Scotland
United Kingdom,Scotland,Dundee City Council,Dundee,Scotland
United Kingdom,England,County Durham,Durham,North East
United Kingdom,England,East Sussex,Eastbourne,South East
United Kingdom,Wales,Blaenau Gwent,Ebbw Vale,Wales
United Kingdom,Scotland,Edinburgh,Edinburgh,Scotland
United Kingdom,Scotland,Moray,Elgin,Scotland
United Kingdom,England,Devon,Exeter,South West
United Kingdom,Scotland,Falkirk,Falkirk,Scotland
United Kingdom,Scotland,Fife,Fife,Scotland
United Kingdom,Scotland,Glasgow City,Glasgow,Scotland
United Kingdom,England,Gloucestershire,Gloucester,South West
United Kingdom,England,Thurrock,Grays,East of England
United Kingdom,England,North East Lincolnshire,Grimsby,Yorkshire and the Humber
United Kingdom,England,Surrey,Guildford,South East
United Kingdom,Scotland,East Lothian Council,Haddington,Scotland
United Kingdom,England,Hartlepool,Hartlepool,North East
United Kingdom,England,Herefordshire,Hereford,West Midlands
United Kingdom,Wales,Isle of Anglesey,Holyhead,Wales
United Kingdom,England,Kingston upon Hull,Hull,Yorkshire and the Humber
United Kingdom,Scotland,Inverclyde,Inverclyde,Scotland
United Kingdom,Scotland,North Ayrshire Council,Irvine,Scotland
United Kingdom,England,Cumbria,Keswick,North West
United Kingdom,Scotland,East Ayrshire Council,Kilmarnock,Scotland
United Kingdom,Scotland,Orkney,Kirkwall,Scotland
United Kingdom,Scotland,South Lanarkshire,Lanark,Scotland
United Kingdom,England,Leicester,Leicester,East Midlands
United Kingdom,England,Central Bedfordshire,Leighton Buzzard,East of England
United Kingdom,Scotland,East Dunbartonshire Council,Lennoxtown,Scotland
United Kingdom,England,Lincolnshire,Lincoln,East Midlands
United Kingdom,Northern Ireland,Lisburn and Castlereagh,Lisburn,Northern Ireland
United Kingdom,England,Merseyside,Liverpool,North West
United Kingdom,Scotland,West Lothian,Livingston,Scotland
United Kingdom,Scotland,Argyll and Bute Council,Lochgilphead,Scotland
United Kingdom,Scotland,East Renfrewshire Council,Loganswell,Scotland
United Kingdom,England,Greater London,London,Greater London
United Kingdom,England,Leicestershire,Loughborough,East Midlands
United Kingdom,England,Luton,Luton,East of England
United Kingdom,England,Windsor and Maidenhead,Maidenhead,South East
United Kingdom,England,Greater Manchester,Manchester,North West
United Kingdom,England,Nottinghamshire,Mansfield,East Midlands
United Kingdom,Scotland,Scottish Borders,Melrose,Scotland
United Kingdom,Wales,Merthyr Tydfil County Borough,Merthyr Tydfil,W
United Kingdom,England,Middlesbrough,Middleborough,North East
United Kingdom,England,Milton Keynes,Milton Keynes,South East
United Kingdom,Wales,Flintshire,Mold,Wales
United Kingdom,Wales,Monmouthshire,Monmouth,Wales
United Kingdom,England,West Berkshire,Newbury,South East
United Kingdom,Scotland,North Lanarkshire,Newmains,Scotland
United Kingdom,Wales,Newport,Newport,Wales
United Kingdom,Northern Ireland,"Newry, Mourne and Down",Newry,Northern Ireland
United Kingdom,Wales,Powys,Newtown,Wales
United Kingdom,England,Northamptonshire,Northampton,East Midlands
United Kingdom,England,Norfolk,Norwich,East of England
United Kingdom,England,Nottingham,Nottingham,East Midlands
United Kingdom,England,Warwickshire,Nuneaton,West Midlands
United Kingdom,England,Rutland,Oakham,East Midlands
United Kingdom,Northern Ireland,Fermanagh and Omagh,Omagh,Northern Ireland
United Kingdom,England,Oxfordshire,Oxford,South East
United Kingdom,England,Torbay,Paignton,South West
United Kingdom,Scotland,Renfrewshire,Paisley,Scotland
United Kingdom,Scotland,Perth and Kinross,Perth,Scotland
United Kingdom,England,Peterborough,Peterborough,East of England
United Kingdom,England,Plymouth,Plymouth,South East
United Kingdom,Wales,Neath Port Talbot Principle Area,Port Talbot,Wales
United Kingdom,Wales,Gwynedd,Porthmadog,Wales
United Kingdom,England,Portsmouth,Portsmouth,South East
United Kingdom,England,Lancashire,Preston,North West
United Kingdom,England,Reading,Reading,South East
United Kingdom,England,Redcar and Cleveland,Redcar,North East
United Kingdom,England,Medway,Rochester,South East
United Kingdom,Scotland,Midlothian,Roslin,Scotland
United Kingdom,Scotland,Shetland Islands,Sandwick,Scotland
United Kingdom,England,North Yorkshire,Scarborough,Yorkshire and the Humber
United Kingdom,England,North Lincolnshire,Scunthorpe,Yorkshire and the Humber
United Kingdom,England,Isle of Wight,Shanklin,South East
United Kingdom,England,South Yorkshire,Sheffield,Yorkshire and the Humber
United Kingdom,England,Shropshire,Shrewsbury,West Midlands
United Kingdom,England,Slough,Slough,South East
United Kingdom,England,Southampton,Southampton,South East
United Kingdom,England,Southend-on-Sea,Southend-on-Sea,East of England
United Kingdom,Wales,Pembrokeshire,St Davids,Wales
United Kingdom,England,Cornwall,St Ives,South West
United Kingdom,England,Staffordshire,Stafford,West Midlands
United Kingdom,Scotland,Stirling,Stirling,Scotland
United Kingdom,England,Stockton-on-Tees,Stockton-on-Tees,North East
United Kingdom,England,Stoke-on-Trent,Stoke-on-Trent,West Midlands
United Kingdom,Scotland,Na h-Eileanan an Iar,Stornoway,Scotland
United Kingdom,England,Tyne and Wear,Sunderland,North East
United Kingdom,Wales,Swansea,Swansea,Wales
United Kingdom,England,Swindon,Swindon,South West
United Kingdom,England,Somerset,Taunton,South West
United Kingdom,England,Warrington,Warrington,North West
United Kingdom,England,Hertfordshire,Watford,East of England
United Kingdom,England,North Somerset,Weston-super-mare,South West
United Kingdom,England,Borough of Halton,Widnes,North West
United Kingdom,England,Wokingham,Wokingham,South East
United Kingdom,England,Worcestershire,Worcester,West Midlands
United Kingdom,Wales,Wrexham Principal Area,Wrexham,Wales
United Kingdom,England,York,York,Yorkshire and the Humber